fid,Src,Dest,Heading,Parent_Layer,Steps,Sheltered,Distance,Time_Cost,geometry_type,coordinates
31,AS1-Level2-Stair4,AS1-Level2-Side-Entrance,W,AS1_L2_ROOMS,0,T,7,5,LineString,"[[11551859.092600573, 144181.55163866564], [11551852.835989783, 144178.56400653237]]"
32,AS1-Level2-Side-Entrance,LT10-Entrance,S,AS1_L2_ROOMS,0,T,20,15,LineString,"[[11551852.835989783, 144178.56400653237], [11551861.041617686, 144160.53532013122]]"
32,LT10-Entrance,AS1-Level2-Side-Entrance,N,AS1_L2_ROOMS,0,T,20,15,LineString,"[[11551861.041617686, 144160.53532013122], [11551852.835989783, 144178.56400653237]]"
33,LT10-Entrance,LT10,W,AS1_L2_ROOMS,0,T,9,7,LineString,"[[11551861.041617686, 144160.53532013122], [11551852.726141445, 144156.70516137822]]"
33,LT10,LT10-Entrance,E,AS1_L2_ROOMS,0,T,9,7,LineString,"[[11551852.726141445, 144156.70516137822], [11551861.041617686, 144160.53532013122]]"
1,AS1-Level3-Stair4,AS1-Level3-Deck-Entrance,E,AS1_L3_ROOMS,0,T,12,9,LineString,"[[11551869.375774113, 144186.09379407682], [11551880.608910915, 144191.43895935785]]"
1,AS1-Level3-Deck-Entrance,AS1-Level3-Stair4,W,AS1_L3_ROOMS,0,T,12,9,LineString,"[[11551880.608910915, 144191.43895935785], [11551869.375774113, 144186.09379407682]]"
2,AS1-Level3-Deck-Entrance,AS1-Level3-Corridor,E,AS1_L3_ROOMS,0,T,8,6,LineString,"[[11551880.608910915, 144191.43895935785], [11551886.610970085, 144196.4228120645]]"
2,AS1-Level3-Corridor,AS1-Level3-Deck-Entrance,W,AS1_L3_ROOMS,0,T,8,6,LineString,"[[11551886.610970085, 144196.4228120645], [11551880.608910915, 144191.43895935785]]"
3,AS1-Level3-Corridor,AS1-0304-Entrance,N,AS1_L3_ROOMS,0,T,6,4,LineString,"[[11551886.610970085, 144196.4228120645], [11551888.540203393, 144202.63923049427]]"
3,AS1-0304-Entrance,AS1-Level3-Corridor,S,AS1_L3_ROOMS,0,T,6,4,LineString,"[[11551888.540203393, 144202.63923049427], [11551886.610970085, 144196.4228120645]]"
4,AS1-0304-Entrance,AS1-0303-Entrance,N,AS1_L3_ROOMS,0,T,7,5,LineString,"[[11551888.540203393, 144202.63923049427], [11551891.11251447, 144209.7130859489]]"
4,AS1-0303-Entrance,AS1-0304-Entrance,S,AS1_L3_ROOMS,0,T,7,5,LineString,"[[11551891.11251447, 144209.7130859489], [11551888.540203393, 144202.63923049427]]"
5,AS1-0303-Entrance,AS1-0302-Entrance,N,AS1_L3_ROOMS,0,T,9,7,LineString,"[[11551891.11251447, 144209.7130859489], [11551894.167133868, 144218.1266867547]]"
5,AS1-0302-Entrance,AS1-0303-Entrance,S,AS1_L3_ROOMS,0,T,9,7,LineString,"[[11551894.167133868, 144218.1266867547], [11551891.11251447, 144209.7130859489]]"
6,AS1-0302-Entrance,AS1-0301-Entrance,N,AS1_L3_ROOMS,0,T,16,12,LineString,"[[11551894.167133868, 144218.1266867547], [11551899.841583395, 144233.19924062656]]"
6,AS1-0301-Entrance,AS1-0302-Entrance,S,AS1_L3_ROOMS,0,T,16,12,LineString,"[[11551899.841583395, 144233.19924062656], [11551894.167133868, 144218.1266867547]]"
7,AS1-0301-Entrance,AS1-Level1-FemaleToilet1,E,AS1_L3_ROOMS,0,T,3,2,LineString,"[[11551899.841583395, 144233.19924062656], [11551902.580734674, 144231.09542175476]]"
7,AS1-Level1-FemaleToilet1,AS1-0301-Entrance,W,AS1_L3_ROOMS,0,T,3,2,LineString,"[[11551902.580734674, 144231.09542175476], [11551899.841583395, 144233.19924062656]]"
8,AS1-0301-Entrance,AS1-Level3-Stair1,E,AS1_L3_ROOMS,0,T,5,4,LineString,"[[11551899.841583395, 144233.19924062656], [11551904.255351057, 144234.17781957542]]"
8,AS1-Level3-Stair1,AS1-0301-Entrance,W,AS1_L3_ROOMS,0,T,5,4,LineString,"[[11551904.255351057, 144234.17781957542], [11551899.841583395, 144233.19924062656]]"
9,AS1-0301-Entrance,AS1-0301,W,AS1_L3_ROOMS,0,T,4,3,LineString,"[[11551899.841583395, 144233.19924062656], [11551896.009911692, 144234.56578088485]]"
9,AS1-0301,AS1-0301-Entrance,E,AS1_L3_ROOMS,0,T,4,3,LineString,"[[11551896.009911692, 144234.56578088485], [11551899.841583395, 144233.19924062656]]"
10,AS1-0302-Entrance,AS1-0302,W,AS1_L3_ROOMS,0,T,4,3,LineString,"[[11551894.167133868, 144218.1266867547], [11551890.174692722, 144219.43963719887]]"
10,AS1-0302,AS1-0302-Entrance,E,AS1_L3_ROOMS,0,T,4,3,LineString,"[[11551890.174692722, 144219.43963719887], [11551894.167133868, 144218.1266867547]]"
11,AS1-0303-Entrance,AS1-0303,W,AS1_L3_ROOMS,0,T,4,3,LineString,"[[11551891.11251447, 144209.7130859489], [11551887.334432578, 144211.02603639307]]"
11,AS1-0303,AS1-0303-Entrance,E,AS1_L3_ROOMS,0,T,4,3,LineString,"[[11551887.334432578, 144211.02603639307], [11551891.11251447, 144209.7130859489]]"
12,AS1-0304-Entrance,AS1-0304,W,AS1_L3_ROOMS,0,T,4,3,LineString,"[[11551888.540203393, 144202.63923049427], [11551884.922890944, 144203.95218093848]]"
12,AS1-0304,AS1-0304-Entrance,E,AS1_L3_ROOMS,0,T,4,3,LineString,"[[11551884.922890944, 144203.95218093848], [11551888.540203393, 144202.63923049427]]"
13,AS1-Level3-Deck-Linkway,AS1-Level3-FemaleToilet2-Entrance,S,AS1_L3_ROOMS,0,T,6,4,LineString,"[[11551880.608910915, 144191.43895935785], [11551882.8256456, 144185.72113377336]]"
13,AS1-Level3-FemaleToilet2-Entrance,AS1-Level3-Deck-Linkway,N,AS1_L3_ROOMS,0,T,6,4,LineString,"[[11551882.8256456, 144185.72113377336], [11551880.608910915, 144191.43895935785]]"
14,AS1-Level3-FemaleToilet2-Entrance,LT9-Entrance,S,AS1_L3_ROOMS,0,T,14,10,LineString,"[[11551882.8256456, 144185.72113377336], [11551887.71413769, 144172.1643876609]]"
14,LT9-Entrance,AS1-Level3-FemaleToilet2-Entrance,N,AS1_L3_ROOMS,0,T,14,10,LineString,"[[11551887.71413769, 144172.1643876609], [11551882.8256456, 144185.72113377336]]"
